no.,section,chapter,heading,sub-heading,tariff,description
3393,07,39,3920,392030,39203099,"Plastics; of polymers of styrene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3394,07,39,3920,392043,39204310,"Plastics; polymers of vinyl chloride, containing by weight not less than 6% of plasticisers; plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - P"
3395,07,39,3920,392043,39204390,"Plastics; polymers of vinyl chloride, containing by weight not less than 6% of plasticisers; plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - O"
3396,07,39,3920,392049,39204900,"Plastics; polymers of vinyl chloride, containing by weight, less than 6% of plasticisers; plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3397,07,39,3920,392051,39205111,"Plastics; of acrylic polymers, polymethyl methacrylate, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Rigid"
3398,07,39,3920,392051,39205119,"Plastics; of acrylic polymers, polymethyl methacrylate, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
3399,07,39,3920,392051,39205190,"Plastics; of acrylic polymers, polymethyl methacrylate, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3400,07,39,3920,392059,39205911,"Plastics; of acrylic polymers (excluding polymethyl methacrylate), plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Rigid"
3401,07,39,3920,392059,39205919,"Plastics; of acrylic polymers (excluding polymethyl methacrylate), plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
3402,07,39,3920,392059,39205990,"Plastics; of acrylic polymers (excluding polymethyl methacrylate), plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3403,07,39,3920,392061,39206110,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polycarbonates, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets"
3404,07,39,3920,392061,39206190,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polycarbonates, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3405,07,39,3920,392062,39206210,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of poly(ethylene terephthalate), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets"
3406,07,39,3920,392062,39206290,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of poly(ethylene terephthalate), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3407,07,39,3920,392063,39206310,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of unsaturated polyesters, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets"
3408,07,39,3920,392063,39206390,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of unsaturated polyesters, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3409,07,39,3920,392069,39206910,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polyesters n.e.c. in heading no. 3920, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets"
3410,07,39,3920,392069,39206990,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polyesters n.e.c. in heading no. 3920, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3411,07,39,3920,392071,39207110,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of regenerated cellulose; noncellular and not reinforced, laminated, supported or similarly combined with other materials - Cellophane film"
3412,07,39,3920,392071,39207191,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of regenerated cellulose; noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Printed sheets"
3413,07,39,3920,392071,39207199,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of regenerated cellulose; noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
3414,07,39,3920,392073,39207300,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of cellulose acetate, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Of cellulose acetate"
3415,07,39,3920,392079,39207910,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of cellulose derivatives n.e.c. in heading no. 3920, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Of nitrocellulose (gun cotton)"
3416,07,39,3920,392079,39207920,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of cellulose derivatives n.e.c. in heading no. 3920, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Of vulcanised fibre"
3417,07,39,3920,392079,39207991,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of cellulose derivatives n.e.c. in heading no. 3920, noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Plates and sheets"
3418,07,39,3920,392079,39207999,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of cellulose derivatives n.e.c. in heading no. 3920, noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
3419,07,39,3920,392091,39209110,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of poly(vinyl butyral), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Film of a kind used in safety glass, of a thickness exceedi"
3420,07,39,3920,392091,39209191,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of poly(vinyl butyral), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Plates and sheets"
3421,07,39,3920,392091,39209199,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of poly(vinyl butyral), noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
3422,07,39,3920,392092,39209210,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polyamides, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Of polyamide6"
3423,07,39,3920,392092,39209291,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polyamides, noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Plates and sheets"
3424,07,39,3920,392092,39209299,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polyamides, noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
3425,07,39,3920,392093,39209310,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of aminoresins, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets"
3426,07,39,3920,392093,39209390,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of aminoresins, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3427,07,39,3920,392094,39209410,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of phenolic resins, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Phenol formaldehyde (bakelite) sheets"
3428,07,39,3920,392094,39209491,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of phenolic resins, noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Plates and sheets"
3429,07,39,3920,392094,39209499,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of phenolic resins, noncellular and not reinforced, laminated, supported or similarly combined with other materials -  Other"
